ID	ProteinID	Function 	Localization
371	Q9BQB6	Involved in vitamin K metabolism. Catalytic subunit of the vitamin K epoxide reductase (VKOR) complex which reduces inactive vitamin K 2,3-epoxide to active vitamin K. Vitamin K is required for the gamma-carboxylation of various proteins, including clotting factors, and is required for normal blood coagulation, but also for normal bone development	Endoplasmic reticulum membrane
372	Q8N2K0	Lysophosphatidylserine (LPS) lipase that mediates the hydrolysis of lysophosphatidylserine, a class of signaling lipids that regulates immunological and neurological processes (PubMed:25290914, PubMed:30237167, PubMed:30420694, PubMed:30643283, PubMed:30720278). Represents a major lysophosphatidylserine lipase in the brain, thereby playing a key role in the central nervous system (By similarity). Also able to hydrolyze oxidized phosphatidylserine; oxidized phosphatidylserine is produced in response to severe inflammatory stress and constitutes a proapoptotic 'eat me' signal (PubMed:30643283). Also has monoacylglycerol (MAG) lipase activity: hydrolyzes 2-arachidonoylglycerol (2-AG), thereby acting as a regulator of endocannabinoid signaling pathways (PubMed:22969151, PubMed:24027063). Has a strong preference for very-long-chain lipid substrates; substrate specificity is likely due to improved catalysis and not improved substrate binding (PubMed:30237167)	Endoplasmic reticulum membrane
373	Q8IY26	Magnesium-independent polyisoprenoid diphosphatase that catalyzes the sequential dephosphorylation of presqualene, farnesyl, geranyl and geranylgeranyl diphosphates (PubMed:16464866, PubMed:19220020, PubMed:20110354). Functions in the innate immune response through the dephosphorylation of presqualene diphosphate which acts as a potent inhibitor of the signaling pathways contributing to polymorphonuclear neutrophils activation (PubMed:16464866, PubMed:23568778). May regulate the biosynthesis of cholesterol and related sterols by dephosphorylating presqualene and farnesyl diphosphate, two key intermediates in this biosynthetic pathway (PubMed:20110354). May also play a role in protein prenylation by acting on farnesyl diphosphate and its derivative geranylgeranyl diphosphate, two precursors for the addition of isoprenoid anchors to membrane proteins (PubMed:20110354). Has a lower activity towards phosphatidic acid (PA), but through phosphatidic acid dephosphorylation may participate in the biosynthesis of phospholipids and triacylglycerols (PubMed:18930839). May also act on ceramide-1-P, lysophosphatidic acid (LPA) and sphing-4-enine 1-phosphate/sphingosine-1-phosphate (PubMed:18930839, PubMed:20110354)	Endoplasmic reticulum membrane
374	Q9BT22	Mannosyltransferase that operates in the biosynthetic pathway of dolichol-linked oligosaccharides, the glycan precursors employed in protein asparagine (N)-glycosylation. The assembly of dolichol-linked oligosaccharides begins on the cytosolic side of the endoplasmic reticulum membrane and finishes in its lumen. The sequential addition of sugars to dolichol pyrophosphate produces dolichol-linked oligosaccharides containing fourteen sugars, including two GlcNAcs, nine mannoses and three glucoses. Once assembled, the oligosaccharide is transferred from the lipid to nascent proteins by oligosaccharyltransferases. Catalyzes, on the cytoplasmic face of the endoplasmic reticulum, the addition of the first mannose residues to the dolichol-linked oligosaccharide chain, to produce Man1GlcNAc(2)-PP-dolichol core oligosaccharide. Man1GlcNAc(2)-PP-dolichol is a substrate for ALG2, the following enzyme in the biosynthetic pathway	Endoplasmic reticulum membrane
375	Q4ZIN3	May have a role in the ERAD pathway required for clearance of misfolded proteins in the endoplasmic reticulum (ER). Promotes survival of motor neurons, probably by protecting against ER stress	Endoplasmic reticulum membrane
376	Q9BTV4	May have an important role in maintaining nuclear envelope structure by organizing protein complexes at the inner nuclear membrane. Required for retaining emerin at the inner nuclear membrane (By similarity). Plays a role in the modulation of innate immune signaling through the cGAS-STING pathway by interacting with RNF26 (PubMed:32614325). In addition, functions as a critical signaling component in mediating NF-kappa-B activation by acting downstream of EGFR and upstream of CARD10 (PubMed:27991920). Contributes to passive conductance current in cochlear glia-like supporting cells, mediated by gap junctions and necessary for hearing and speech discrimination (PubMed:34050020)	Endoplasmic reticulum membrane
377	Q9UGP8	Mediates cotranslational and post-translational transport of certain precursor polypeptides across endoplasmic reticulum (ER) (PubMed:22375059, PubMed:29719251). Proposed to play an auxiliary role in recognition of precursors with short and apolar signal peptides. May cooperate with SEC62 and HSPA5/BiP to facilitate targeting of small presecretory proteins into the SEC61 channel-forming translocon complex, triggering channel opening for polypeptide translocation to the ER lumen (PubMed:29719251). Required for efficient PKD1/Polycystin-1 biogenesis and trafficking to the plasma membrane of the primary cilia (By similarity)	Endoplasmic reticulum membrane
378	Q99442	Mediates post-translational transport of precursor polypeptides across endoplasmic reticulum (ER). Proposed to act as a targeting receptor for small presecretory proteins containing short and apolar signal peptides. Targets and properly positions newly synthesized presecretory proteins into the SEC61 channel-forming translocon complex, triggering channel opening for polypeptide translocation to the ER lumen	Endoplasmic reticulum membrane
379	Q9Y394	NADPH-dependent oxidoreductase which catalyzes the reduction of a variety of compounds bearing carbonyl groups including steroids, retinoids and xenobiotics (PubMed:24246760, PubMed:26466768, PubMed:28457967, PubMed:28687384). Catalyzes the reduction/inactivation of 5alpha-dihydrotestosterone to 3alpha-androstanediol, with a possible role in the modulation of androgen receptor function (PubMed:28457967, PubMed:28687384). Involved in the reduction of all-trans-retinal to all-trans-retinol (PubMed:26466768). Converts cortisone to 20beta-dihydrocortisone in vitro, although the physiological relevance of this activity is questionable (PubMed:28457967). Reduces exogenous compounds such as quinones (1,2-naphtoquinone, 9,10-phenantrenequinone and benzoquinone) and other xenobiotics (alpha-diketones) in vitro, suggesting a role in the biotransformation of xenobiotics with carbonyl group (PubMed:24246760, PubMed:26466768). A dehydrogenase activity has not been detected so far (PubMed:24246760). May play a role as tumor suppressor (PubMed:26311046)	Endoplasmic reticulum membrane
380	Q96BY9	Negative regulator of store-operated Ca(2+) entry (SOCE) involved in protecting cells from Ca(2+) overfilling. In response to cytosolic Ca(2+) elevation after endoplasmic reticulum Ca(2+) refilling, promotes a slow inactivation of STIM (STIM1 or STIM2)-dependent SOCE activity: possibly act by facilitating the deoligomerization of STIM to efficiently turn off ORAI when the endoplasmic reticulum lumen is filled with the appropriate Ca(2+) levels, and thus preventing the overload of the cell with excessive Ca(2+) ions	Endoplasmic reticulum membrane
381	Q15006	Part of the endoplasmic reticulum membrane protein complex (EMC) that enables the energy-independent insertion into endoplasmic reticulum membranes of newly synthesized membrane proteins (PubMed:29242231, PubMed:29809151, PubMed:30415835, PubMed:32439656, PubMed:32459176, PubMed:33964204). Preferentially accommodates proteins with transmembrane domains that are weakly hydrophobic or contain destabilizing features such as charged and aromatic residues (PubMed:29242231, PubMed:29809151, PubMed:30415835). Involved in the cotranslational insertion of multi-pass membrane proteins in which stop-transfer membrane-anchor sequences become ER membrane spanning helices (PubMed:29809151, PubMed:30415835). It is also required for the post-translational insertion of tail-anchored/TA proteins in endoplasmic reticulum membranes (PubMed:29242231, PubMed:29809151). By mediating the proper cotranslational insertion of N-terminal transmembrane domains in an N-exo topology, with translocated N-terminus in the lumen of the ER, controls the topology of multi-pass membrane proteins like the G protein-coupled receptors (PubMed:30415835). By regulating the insertion of various proteins in membranes, it is indirectly involved in many cellular processes (Probable)	Endoplasmic reticulum membrane
382	Q9NTJ5	Phosphoinositide phosphatase which catalyzes the hydrolysis of phosphatidylinositol 4-phosphate (PtdIns(4)P) (PubMed:24209621, PubMed:27044890, PubMed:29461204, PubMed:30659099). Can also catalyze the hydrolysis of phosphatidylinositol 3-phosphate (PtdIns(3)P) and has low activity towards phosphatidylinositol-3,5-bisphosphate (PtdIns(3,5)P2) (By similarity). Shows a very robust PtdIns(4)P phosphatase activity when it binds PtdIns(4)P in a 'cis' configuration in the cellular environment, with much less activity seen when it binds PtdIns(4)P in 'trans' configuration (PubMed:24209621, PubMed:29461204, PubMed:30659099). PtdIns(4)P phosphatase activity (when it binds PtdIns(4)P in 'trans' configuration) is enhanced in the presence of PLEKHA3 (PubMed:30659099)	Endoplasmic reticulum membrane
383	Q8IY17	Phospholipase B that deacylates intracellular phosphatidylcholine (PtdCho), generating glycerophosphocholine (GroPtdCho). This deacylation occurs at both sn-2 and sn-1 positions of PtdCho. Catalyzes the hydrolysis of several naturally occurring membrane-associated lipids (PubMed:11927584). Hydrolyzes lysophospholipids and monoacylglycerols, preferring the 1-acyl to the 2-acyl isomer. Does not catalyze hydrolysis of di- or triacylglycerols or fatty acid amides (PubMed:11927584)	Endoplasmic reticulum membrane
384	Q9H2C2	Plays a role as a mediator in the endoplasmic reticulum (ER) cholesterol and bile acid homeostasis (PubMed:11063737, PubMed:12145310, PubMed:20663892). Participates in sterol transport out of the ER and distribution into plasma membranes (PubMed:20663892)	Endoplasmic reticulum membrane
385	Q00765	Plays an essential role in heart function and development by regulating the organization and function of the sarcoplasmic reticulum in cardiomyocytes	Endoplasmic reticulum membrane
386	Q9NZV5	Plays an important role in cell protection against oxidative stress and in the regulation of redox-related calcium homeostasis. Regulates the calcium level of the ER by protecting the calcium pump ATP2A2 against the oxidoreductase ERO1A-mediated oxidative damage. Within the ER, ERO1A activity increases the concentration of H(2)O(2), which attacks the luminal thiols in ATP2A2 and thus leads to cysteinyl sulfenic acid formation (-SOH) and SEPN1 reduces the SOH back to free thiol (-SH), thus restoring ATP2A2 activity (PubMed:25452428). Acts as a modulator of ryanodine receptor (RyR) activity: protects RyR from oxidation due to increased oxidative stress, or directly controls the RyR redox state, regulating the RyR-mediated calcium mobilization required for normal muscle development and differentiation (PubMed:18713863, PubMed:19557870)	Endoplasmic reticulum membrane
